ANT1,1.77,5.80,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,-1.84,14.76,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-38.40,-11.61,270.00,10μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,2.96,15.16,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,-7.56,11.14,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C12,-8.71,10.44,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,-10.02,10.46,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-12.25,10.56,0.00,4.7μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,0.10,14.65,180.00,1.0μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,2.98,13.74,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-17.86,10.60,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-15.16,10.58,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-23.14,4.56,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,-3.34,14.74,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-20.75,-8.34,0.00,4.7μF/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,-15.95,2.46,0.00,4.7μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,-16.00,0.56,0.00,4.7μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,-2.80,4.64,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-27.13,-2.80,0.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-27.15,-1.26,180.00,10μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,-22.70,-0.54,0.00,22μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,-36.74,14.50,0.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-29.30,-10.60,0.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,-2.78,7.16,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-7.26,-10.50,180.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-18.38,-10.30,0.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-28.92,9.80,0.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-18.85,-0.56,180.00,22μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,-29.55,15.40,180.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-36.76,13.20,0.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-18.60,10.60,270.00,1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-23.80,6.56,0.00,10μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,-2.84,3.54,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-7.00,16.34,90.00,0.1μF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-9.18,15.97,270.00,4.7μF,PERFECT_0402_0402
C5,-14.24,10.54,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-18.90,6.36,0.00,4.7μF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,-7.61,0.84,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,-5.64,0.86,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,-4.11,4.84,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-22.60,-4.78,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-23.70,16.82,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-15.60,-4.82,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-19.00,-4.86,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-34.42,11.34,90.00,1μF/50V,PERFECT_0402_0402
EPD_C10,-33.42,-7.11,90.00,1μF/50V,PERFECT_0402_0402
EPD_C11,-31.72,-7.11,90.00,1μF/50V,PERFECT_0402_0402
EPD_C12,-30.12,-7.16,90.00,1μF/50V,PERFECT_0402_0402
EPD_C2,-32.82,11.39,90.00,1μF/50V,PERFECT_0402_0402
EPD_C5,-35.78,11.36,270.00,1μF/50V,PERFECT_0402_0402
EPD_C6,-25.92,-4.56,90.00,1μF/50V,PERFECT_0402_0402
EPD_C7,-27.32,-4.56,90.00,1μF/50V,PERFECT_0402_0402
EPD_C8,-28.72,-4.56,90.00,1μF/50V,PERFECT_0402_0402
EPD_C9,-27.26,-7.08,0.00,1μF/50V,PERFECT_0402_0402
IC1,-20.91,8.62,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-28.97,11.66,180.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-20.25,3.66,0.00,BMA423,BMA423_BMA423
IC9,-27.12,2.34,90.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-32.17,1.59,270.00,503480-2400,503480-2400_5034802400
J2,-6.25,-4.78,180.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,-16.20,15.63,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,-2.78,5.94,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,0.03,17.36,180.00,10μH,NORDIC_NRF_2_RESC0402_L
L3,0.02,16.04,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-34.69,-11.67,180.00,68μH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-27.07,5.91,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,2.73,-1.41,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-38.83,-7.27,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R17,-29.22,17.30,0.00,3k3,ERA-1AEB3401C_0201
R18,-30.07,17.31,0.00,3k3,ERA-1AEB3401C_0201
R1_EP_DR,-36.30,-6.66,270.00,0.47,ERA-1AEB3401C_0201
R1_TYPE_SEL,-12.90,-14.52,270.00,2.2,ERA-1AEB3401C_0201
R1_USB,-16.18,10.90,180.00,5k1,ERA-1AEB3401C_0201
R2,-23.20,5.68,270.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-36.30,-7.80,270.00,10k,ERA-1AEB3401C_0201
R2_USB,-16.94,10.90,0.00,5k1,ERA-1AEB3401C_0201
R3,-20.90,5.98,270.00,0,ERA-1AEB3401C_0201
R4,-23.20,5.18,270.00,0,ERA-1AEB3401C_0201
R5,-8.74,-10.50,180.00,10k,ERA-1AEB3401C_0201
R7,-30.70,-10.50,180.00,10k,ERA-1AEB3401C_0201
R8,-19.74,-10.40,0.00,10k,ERA-1AEB3401C_0201
R9,-20.90,6.68,270.00,10k,ERA-1AEB3401C_0201
R_PWR_EPD,0.19,-1.49,0.00,10k,ERA-1AEB3401C_0201
SJ1,-12.85,-12.43,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-29.28,-12.76,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-18.35,-12.76,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-7.32,-12.76,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,0.62,-10.46,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-34.38,17.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-32.81,13.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,3.35,-10.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-39.15,14.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-39.17,11.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,0.61,-5.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-27.46,17.24,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-31.87,17.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,0.67,-7.96,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,3.33,-7.86,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,3.23,-5.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-35.21,13.74,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-36.95,17.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,-8.17,5.08,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-24.92,9.81,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,-2.56,16.69,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-16.59,8.69,180.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
